type_of_property,price,building_condition,facade_number,living_area,equipped_kitchen,terrace,garden,subtype_ecoded,km_to_capital
0,628000.0,2,2.0,150,1,12,0,7,0.41
0,299000.0,0,2.0,62,0,0,0,7,11.72
0,249000.0,2,2.0,90,2,1,0,7,43.83
0,685000.0,2,2.0,80,1,1,0,7,17.1
0,745000.0,2,2.0,169,0,22,0,7,11.72
0,2375000.0,2,2.0,105,2,1,0,7,17.1
0,140000.0,2,2.0,67,0,0,0,7,13.72
0,185000.0,1,2.0,72,0,0,0,7,13.72
0,199000.0,2,2.0,72,1,0,0,7,2.1
0,325000.0,2,2.0,53,1,0,0,7,0.41
0,345000.0,2,2.0,53,1,0,0,7,0.41
0,135000.0,2,2.0,65,0,15,0,7,21.36
0,165000.0,2,2.0,28,2,0,0,7,0.41
0,445000.0,2,3.0,140,2,1,0,7,2.98
0,235000.0,2,2.0,310,1,1,0,11,28.12
0,800000.0,2,2.0,137,2,43,0,15,2.57
0,239000.0,1,2.0,76,2,10,0,7,5.29
0,379000.0,2,2.0,93,1,14,0,7,22.26
0,430000.0,2,3.0,100,2,10,0,7,2.5
0,239000.0,2,2.0,108,0,15,0,7,0.31
0,495000.0,2,2.0,90,1,8,0,7,5.01
0,295000.0,2,2.0,60,1,2,0,7,1.07
1,375000.0,2,2.0,90,1,2,0,12,1.07
1,275000.0,2,2.0,131,1,8,0,12,22.89
0,279000.0,2,2.0,71,1,0,0,15,1.07
0,359000.0,2,2.0,95,1,1,0,7,36.34
0,425000.0,2,3.0,80,0,0,0,7,3.3
0,425000.0,2,3.0,80,0,0,0,7,5.1
0,453000.0,2,2.0,118,2,11,0,7,3.3
1,395000.0,2,2.0,200,2,31,0,9,27.75
0,725000.0,2,4.0,161,1,15,0,7,0.41
0,725000.0,2,4.0,170,2,150,0,15,2.5
0,388000.0,2,2.0,120,2,2,0,7,2.47
0,269000.0,2,2.0,96,0,0,0,7,2.08
0,338000.0,2,4.0,94,2,20,0,7,12.62
0,368500.0,1,2.0,97,0,0,0,7,1.61
0,490000.0,2,2.0,195,0,1,0,7,38.32
0,199000.0,2,2.0,85,0,0,0,7,3.91
0,210000.0,2,4.0,120,1,1,0,7,2.1
0,245000.0,2,3.0,62,1,0,0,7,1.07
1,274000.0,2,3.0,214,1,84,0,12,13.45
0,280000.0,2,4.0,86,2,16,0,7,18.76
0,295000.0,2,4.0,95,2,12,0,7,3.32
0,295000.0,2,2.0,62,1,5,2000,7,8.51
0,299000.0,2,2.0,128,1,0,0,7,3.99
0,399000.0,2,2.0,82,1,1,0,7,13.72
0,1095000.0,2,2.0,315,2,25,0,11,2.5
0,160000.0,1,2.0,55,0,0,0,7,18.15
0,220000.0,2,4.0,45,1,6,0,2,2.57
0,485000.0,2,2.0,76,2,10,0,15,15.48
0,270000.0,2,2.0,75,2,8,0,7,3.32
0,159000.0,2,2.0,80,2,1,0,7,25.3
0,180000.0,2,2.0,70,1,10,0,7,4.88
0,335000.0,2,2.0,70,1,6,0,7,6.38
0,149900.0,2,2.0,85,1,29,0,6,2.1
0,160000.0,2,3.0,67,1,0,0,7,1103.52
0,229000.0,2,2.0,61,1,8,0,7,5.1
0,229000.0,2,2.0,67,1,4,0,7,5.1
0,239000.0,2,2.0,61,1,8,0,7,5.1
